Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Category,Sub-Category,Sales,Quantity,Discount,Profit
IND-10023,2023-04-04,2023-04-07,First Class,Nitin Tiwari,Corporate,Kolkata,West Bengal,Technology,Copiers,2727.45,4,0.0,300.18
IND-10024,2021-09-08,2021-09-12,Same Day,Deepak Agarwal,Consumer,Mumbai,Maharashtra,Office Supplies,Storage,2337.51,1,0.2,563.9
IND-10025,2021-01-07,2021-01-08,First Class,Deepak Patel,Home Office,Bengaluru,Karnataka,Technology,Copiers,3018.5,3,0.4,-273.18
IND-10026,2023-02-27,2023-03-02,Second Class,Vivek Sharma,Home Office,Kanpur,Uttar Pradesh,Technology,Copiers,4276.68,4,0.2,1169.77
IND-10027,2022-03-21,2022-03-24,First Class,Rohit Tiwari,Consumer,New Delhi,Delhi,Technology,Copiers,3650.57,4,0.3,816.46
IND-10028,14/02/2021,2021-02-17,Second Class,Pooja Mishra,Home Office,Indore,Madhya Pradesh,Technology,Accessories,2759.62,7,0.4,-270.62
IND-10029,2022-12-05,2022-12-06,First Class,Amit Sharma,Corporate,Chennai,Tamil Nadu,Technology,Machines,565.22,6,0.0,113.54
IND-10030,2021-11-22,2021-11-23,Same Day,Sneha Tiwari,Consumer,Udaipur,Rajasthan,Furniture,Bookcases,1011.1,3,0.3,230.04
IND-10031,2023-04-05,2023-04-09,Second Class,Kavita Kumar,Corporate,Chennai,Tamil Nadu,Furniture,Furnishings,4781.29,5,0.2,58.43
IND-10032,2021-06-02,2021-06-06,Standard Class,Vikas Mishra,Home Office,Agra,Uttar Pradesh,Technology,Copiers,3985.04,2,0.0,1408.06
IND-10033,2021-07-03,2021-07-05,First Class,Suresh Mishra,Corporate,Coimbatore,Tamil Nadu,Furniture,Furnishings,"1,136.63",9,0.0,185.65
IND-10034,2021-04-23,2021-04-26,Second Class,Ankit Sharma,Consumer,Kolkata,West Bengal,Technology,Accessories,2417.26,2,0.2,200.7
IND-10035,03/02/2023,2023-02-04,First Class,Ankit Bansal,Home Office,Jaipur,Rajasthan,Technology,Machines,2970.1,3,0.3,219.97
IND-10036,2021-07-09,2021-07-10,Second Class,Ritu Kumar,Consumer,Bengaluru,Karnataka,Furniture,Chairs,4941.25,1,0.1,1280.86
IND-10037,2021-10-18,2021-10-21,Second Class,Kiran Chauhan,Corporate,Noida,Uttar Pradesh,Furniture,Bookcases,1929.85,4,0.4,-187.67
IND-10038,2021-11-09,2021-11-10,First Class,Sunita Chatterjee,Home Office,Indore,Madhya Pradesh,Furniture,Chairs,1344.2,9,0.2,215.93
IND-10039,2021-07-21,2021-07-22,Standard Class,Sunita Patel,Home Office,Kolkata,West Bengal,Technology,Accessories,3990.82,2,0.2,225.23
IND-10040,2022-04-08,2022-04-09,Same Day,Nitin Yadav,Home Office,Kanpur,Uttar Pradesh,Furniture,Tables,673.22,4,0.1,152.84
IND-10041,2022-07-05,2022-07-08,Standard Class,Vivek Verma,Consumer,Noida,Uttar Pradesh,Technology,Machines,552.47,6,0.3,-19.3
IND-10042,2023-02-12,2023-02-15,Same Day,Vivek Sharma,Consumer,Coimbatore,Tamil Nadu,Furniture,Chairs,4069.21,6,0.2,1077.33
IND-10043,2022-05-10,2022-05-12,First Class,Sunita Kapoor,Home Office,Udaipur,Rajasthan,Technology,Accessories,3367.99,1,0.2,338.23
IND-10044,2021-05-18,2021-05-19,Second Class,Sunita Singh,Corporate,Jaipur,Rajasthan,Technology,Copiers,706.54,6,0.4,23.26
IND-10045,2023-05-06,2023-05-09,Standard Class,Pooja Pandey,Consumer,Nashik,Maharashtra,Office Supplies,Art,3192.89,7,0.4,-243.71
IND-10046,2022-04-29,2022-05-02,Second Class,Sneha Singh,Corporate,Madurai,  tamil nadu  ,Office Supplies,Binders,2430.94,8,0.1,224.27
IND-10047,2021-07-15,2021-07-19,Same Day,Deepak Patel,Home Office,Mysuru,Karnataka,Furniture,Chairs,2187.34,3,0.0,862.99
IND-10048,2021-03-14,2021-03-16,Same Day,Kavita Pandey,Consumer,Chennai,Tamil Nadu,Technology,Machines,951.52,1,0.3,41.98
IND-10049,2023-05-02,2023-05-06,Standard Class,Kavita Bansal,Corporate,Surat,  gujarat  ,Furniture,Bookcases,3010.67,2,0.4,567.67
IND-10050,2021-09-15,2021-09-18,First Class,Arjun Gupta,Consumer,Jaipur,Rajasthan,Office Supplies,Art,1248.79,9,0.1,189.24
IND-10051,2022-12-06,2022-12-09,First Class,Rahul Patel,Corporate,Chennai,Tamil Nadu,Furniture,Bookcases,1904.59,2,0.2,403.23
IND-10052,2022-02-05,2022-02-06,Same Day,Ankit Bansal,Home Office,Mysuru,Karnataka,Technology,Copiers,3864.04,8,0.3,312.66
IND-10053,2022-01-10,2022-01-11,Standard Class,Rohit Pandey,Consumer,Udaipur,Rajasthan,Furniture,Bookcases,1048.78,9,0.4,80.49
IND-10054,2021-12-16,2021-12-20,First Class,Suresh Iyer,Consumer,New Delhi,Delhi,Technology,Phones,1933.78,6,0.0,570.44
IND-10055,2022-08-28,2022-09-01,Standard Class,Kavita Bansal,Corporate,Nagpur,Maharashtra,Furniture,Furnishings,1719.86,8,0.1,203.6
IND-10056,2023-02-04,2023-02-08,Standard Class,Rohit Mehta,Consumer,New Delhi,Delhi,Furniture,Tables,1034.4,5,0.2,115.68
IND-10057,2022-08-07,2022-08-11,Second Class,Anjali Jain,Home Office,Bengaluru,Karnataka,Office Supplies,Art,4161.14,4,0.1,1084.78
IND-10058,2021-10-07,2021-10-11,First Class,Rahul Sharma,Consumer,Mysuru,Karnataka,Office Supplies,Binders,3007.57,5,0.0,1038.98
IND-10059,2022-06-07,2022-06-10,Second Class,Sunita Yadav,Home Office,Bhopal,Madhya Pradesh,Technology,Machines,3707.0,5,0.2,64.49
IND-10060,2023-01-16,2023-01-18,First Class,Manish Joshi,Corporate,Howrah,West Bengal,Technology,Machines,4198.79,4,0.3,640.28
IND-10061,2023-03-15,2023-03-19,Same Day,Sneha Verma,Consumer,Madurai,Tamil Nadu,Technology,Accessories,3342.2,4,0.0,1229.51
IND-10062,25/03/2022,2022-03-28,Same Day,Rohit Verma,Consumer,Lucknow,Uttar Pradesh,Technology,Copiers,3705.89,2,0.3,644.28
IND-10063,2021-11-14,2021-11-16,First Class,Rahul Jain,Consumer,Howrah,West Bengal,Technology,Accessories,"1,478.30",9,0.2,152.76
IND-10064,2022-01-27,2022-01-31,First Class,Sneha Chauhan,Home Office,Mysuru,Karnataka,Office Supplies,Binders,4260.51,5,0.3,51.86
IND-10065,2021-06-01,2021-06-03,Second Class,Sneha Patel,Consumer,,Gujarat,Furniture,Bookcases,789.74,2,0.3,89.15
IND-10066,2021-04-03,2021-04-06,First Class,Arjun Kumar,Consumer,Surat,Gujarat,Furniture,Furnishings,4876.09,1,0.1,1173.83
IND-10067,2023-01-30,2023-02-02,Standard Class,Ankit Mishra,Home Office,Bhopal,Madhya Pradesh,Furniture,Bookcases,1214.61,7,0.0,176.13
IND-10068,13/08/2021,2021-08-16,First Class,Pooja Gupta,Home Office,Agra,Uttar Pradesh,Furniture,Bookcases,3896.73,1,0.3,118.42
IND-10069,2022-10-24,2022-10-27,First Class,Deepak Singh,Corporate,Bhopal,Madhya Pradesh,Technology,Machines,2782.81,8,0.0,424.48
IND-10070,2021-12-23,2021-12-24,Second Class,Arjun Kapoor,Home Office,Bengaluru,Karnataka,Technology,Machines,3285.02,4,0.3,540.52
IND-10071,2022-04-27,2022-04-28,Standard Class,Ankit Tiwari,Consumer,Kanpur,Uttar Pradesh,Furniture,Chairs,2713.06,6,0.4,-186.44
IND-10072,2022-08-03,2022-08-04,Standard Class,Vivek Joshi,Corporate,Howrah,West Bengal,Technology,Phones,1183.91,8,0.3,206.18
IND-10073,2023-06-11,2023-06-13,Standard Class,Arjun Gupta,Home Office,New Delhi,Delhi,Office Supplies,Binders,3885.18,9,0.2,458.88
IND-10074,2021-08-08,2021-08-11,Second Class,Manish Joshi,Home Office,Udaipur,Rajasthan,Furniture,Bookcases,716.9,6,0.1,94.73
IND-10075,2022-04-27,2022-04-30,Same Day,Anjali Verma,Home Office,Udaipur,Rajasthan,Office Supplies,Binders,453.44,1,0.2,51.3
IND-10076,2021-01-20,2021-01-21,First Class,Neha Agarwal,Home Office,Chennai,Tamil Nadu,Technology,Accessories,1517.65,3,0.4,-95.03
IND-10077,2022-06-01,2022-06-04,Same Day,,Home Office,Bengaluru,Karnataka,Office Supplies,Binders,4499.51,1,0.0,1728.72
IND-10078,2023-02-27,2023-03-01,First Class,Sunita Jain,Corporate,Madurai,Tamil Nadu,Office Supplies,Art,1740.01,7,0.0,379.1
IND-10079,2021-02-03,2021-02-06,Same Day,Amit Agarwal,Corporate,Pune,Maharashtra,Office Supplies,Binders,1175.96,8,0.2,252.98
IND-10080,2021-05-04,2021-05-06,Second Class,Manish Gupta,Home Office,Nashik,Maharashtra,Office Supplies,Storage,2625.77,4,N/A,707.34
IND-10081,2021-10-14,2021-10-17,First Class,Ankit Iyer,Home Office,Pune,Maharashtra,Technology,Copiers,339.74,4,0.1,57.66
IND-10082,2022-11-29,2022-12-02,Second Class,Deepak Saxena,Corporate,Indore,Madhya Pradesh,Furniture,Bookcases,3634.89,7,0.2,150.99
IND-10083,2023-01-12,2023-01-16,Same Day,Priya Agarwal,Home Office,Kanpur,Uttar Pradesh,Furniture,Furnishings,4112.54,2,0.4,787.7
IND-10084,2023-04-22,2023-04-24,First Class,Vikas Chauhan,Consumer,Mysuru,Karnataka,OFFICE SUPPLIES,Storage,1471.17,7,0.4,242.37
IND-10085,2023-06-15,2023-06-16,Second Class,Amit Agarwal,Corporate,Surat,Gujarat,OFFICE SUPPLIES,Binders,1444.88,2,0.2,69.28
IND-10086,2022-02-20,2022-02-22,Standard Class,Sneha Pandey,Corporate,Ahmedabad,Gujarat,Office Supplies,Storage,4056.8,9,0.0,1375.18
IND-10087,2021-05-11,2021-05-15,First Class,Ankit Joshi,Corporate,Noida,  uttar pradesh  ,Furniture,Chairs,3702.73,5,0.0,1166.55
IND-10088,2021-03-25,2021-03-27,Same Day,Amit Mishra,Home Office,Howrah,West Bengal,Furniture,Bookcases,1056.95,4,0.0,164.45
IND-10089,2022-02-07,2022-02-09,Standard Class,Ritu Jain,Home Office,Bhopal,Madhya Pradesh,Technology,Phones,1966.55,9,0.2,310.84
IND-10090,2021-01-22,2021-01-23,Standard Class,Vivek Singh,Consumer,Mangalore,Karnataka,Office Supplies,Storage,2039.69,2,0.0,547.85
IND-10091,2022-09-24,2022-09-27,First Class,Neha Mehta,Corporate,Udaipur,Rajasthan,OFFICE SUPPLIES,Art,3692.29,7,0.2,131.82
IND-10092,2022-08-03,2022-08-04,Same Day,Vikas Patel,Home Office,Coimbatore,Tamil Nadu,Office Supplies,Labels,290.74,1,0.2,79.02
IND-10093,2021-07-23,2021-07-26,Second Class,Sunita Chauhan,Corporate,Bengaluru,  karnataka  ,Furniture,Furnishings,1275.94,9,0.4,-121.03
IND-10094,2021-02-17,2021-02-19,Second Class,Suresh Patel,Corporate,Kolkata,West Bengal,Technology,Accessories,3532.68,4,0.0,729.12
IND-10095,2023-02-24,2023-02-26,First Class,Neha Chatterjee,Consumer,Bhopal,Madhya Pradesh,Office Supplies,Paper,4258.31,6,0.3,938.75
IND-10096,2022-06-09,2022-06-11,Second Class,Priya Mehta,Corporate,Agra,  uttar pradesh  ,Office Supplies,Storage,3435.35,3,0.1,333.13
IND-10097,2021-12-16,2021-12-17,First Class,Ankit Kapoor,Home Office,Agra,Uttar Pradesh,Office Supplies,Labels,2493.77,1,0.3,420.23
IND-10098,2021-04-18,2021-04-22,Same Day,Priya Jain,Corporate,Chennai,Tamil Nadu,Office Supplies,Paper,2027.65,7,0.3,366.79
IND-10099,2023-01-16,2023-01-18,Same Day,Deepak Chatterjee,Corporate,New Delhi,Delhi,Furniture,Chairs,3617.85,3,0.4,1.4
IND-10100,2022-01-29,2022-02-02,Same Day,Sunita Joshi,Consumer,Lucknow,Uttar Pradesh,Office Supplies,Labels,1336.3,7,0.1,276.9
IND-10101,25/04/2023,2023-04-27,Same Day,Suresh Bansal,Consumer,Chennai,  tamil nadu  ,Furniture,Chairs,3394.82,6,0.1,1129.37
IND-10102,2023-04-16,2023-04-18,First Class,Ankit Mehta,Home Office,Kanpur,Uttar Pradesh,Furniture,Chairs,1657.51,4,0.3,179.04
IND-10103,2022-09-15,2022-09-18,First Class,Arjun Chatterjee,Consumer,Kolkata,West Bengal,Furniture,Chairs,3217.45,7,0.1,267.77
IND-10104,2022-10-17,2022-10-19,Standard Class,,Corporate,Howrah,West Bengal,Furniture,Chairs,1104.64,2,0.0,230.1
IND-10105,2022-09-29,2022-10-02,Same Day,Arjun Joshi,Home Office,New Delhi,Delhi,Technology,Accessories,4443.32,4,0.0,963.57
IND-10106,2021-10-04,2021-10-06,Standard Class,Amit Kumar,Corporate,Chennai,Tamil Nadu,Office Supplies,Art,2220.64,8,0.3,493.68
IND-10107,2021-11-06,2021-11-08,Same Day,Sneha Joshi,Corporate,Kolkata,West Bengal,Office Supplies,Paper,2588.77,9,0.4,104.6
IND-10108,2023-04-08,2023-04-09,First Class,Priya Kumar,Consumer,Noida,Uttar Pradesh,Technology,Machines,2717.67,7,0.4,431.48
IND-10109,2021-02-05,2021-02-06,Second Class,Anjali Kumar,Consumer,New Delhi,Delhi,Furniture,Furnishings,3268.1,7,N/A,163.82
IND-10110,2023-03-28,2023-04-01,Standard Class,Nitin Saxena,Home Office,Jaipur,Rajasthan,Office Supplies,Art,998.76,1,0.2,65.91
IND-10111,2021-09-18,2021-09-20,Standard Class,Nitin Singh,Corporate,Bengaluru,  karnataka  ,Office Supplies,Storage,3441.46,8,0.3,16.47
IND-10112,2023-03-23,2023-03-26,Same Day,Rahul Verma,Consumer,Kanpur,Uttar Pradesh,Furniture,Tables,2063.62,6,0.3,355.73
IND-10113,2022-04-02,2022-04-05,Standard Class,Suresh Patel,Corporate,Howrah,West Bengal,Technology,Copiers,3959.86,1,0.4,462.21
IND-10114,2022-04-20,2022-04-23,Standard Class,Anjali Mishra,Corporate,Chennai,Tamil Nadu,Technology,Machines,2014.22,3,0.4,306.47
IND-10115,2023-02-02,2023-02-04,Standard Class,Suresh Mehta,Consumer,Surat,Gujarat,Furniture,Chairs,"3,447.30",3,0.0,619.19
IND-10116,2022-07-21,2022-07-24,Same Day,Sneha Agarwal,Corporate,Surat,Gujarat,Furniture,Tables,3793.92,3,0.1,1160.45
IND-10117,2022-07-10,2022-07-11,Second Class,Sneha Bansal,Corporate,Mumbai,Maharashtra,Technology,Machines,2530.87,5,0.2,327.02
IND-10118,2021-08-04,2021-08-06,Standard Class,Ritu Joshi,Home Office,Coimbatore,Tamil Nadu,Office Supplies,Storage,2111.36,5,0.2,533.89
IND-10119,2022-03-11,2022-03-14,Same Day,Suresh Verma,Corporate,Kolkata,West Bengal,Office Supplies,Binders,2227.64,8,0.0,262.36
IND-10120,2021-02-09,2021-02-12,First Class,Neha Chauhan,Home Office,Madurai,Tamil Nadu,Furniture,Bookcases,2436.62,4,0.0,378.89
IND-10121,2021-05-12,2021-05-16,First Class,Anjali Sharma,Home Office,Noida,Uttar Pradesh,Technology,Copiers,1261.29,3,0.4,232.18
IND-10122,2022-02-18,2022-02-22,Same Day,Sunita Mishra,Corporate,Mumbai,Maharashtra,Furniture,Chairs,2298.59,8,0.3,461.02
IND-10123,2022-04-06,2022-04-07,Second Class,Amit Agarwal,Home Office,Howrah,West Bengal,Furniture,Furnishings,3548.89,1,0.2,829.25
IND-10124,2023-04-28,2023-04-29,First Class,Sunita Tiwari,Home Office,Mangalore,Karnataka,Furniture,Bookcases,3489.37,3,0.1,678.1
IND-10125,2023-03-09,2023-03-13,Second Class,Ritu Gupta,Home Office,Pune,Maharashtra,Office Supplies,Paper,3312.27,8,0.2,931.34
IND-10126,2022-10-11,2022-10-15,Second Class,Ritu Yadav,Consumer,Agra,Uttar Pradesh,Technology,Copiers,965.41,5,0.2,101.08
IND-10127,2022-07-21,2022-07-22,Same Day,Deepak Jain,Consumer,New Delhi,Delhi,Furniture,Chairs,2667.5,4,0.4,494.84
IND-10128,2022-11-10,2022-11-12,Second Class,Vivek Yadav,Corporate,Chennai,Tamil Nadu,Office Supplies,Storage,4708.46,1,0.1,844.91
IND-10129,2022-01-09,2022-01-13,First Class,Neha Mehta,Consumer,New Delhi,Delhi,Technology,Copiers,3299.15,1,0.3,-130.92
IND-10130,2022-12-12,2022-12-15,Second Class,Ankit Agarwal,Home Office,Jaipur,  rajasthan  ,Furniture,Tables,3740.59,2,0.3,675.04
IND-10131,2022-10-24,2022-10-27,First Class,Pooja Kapoor,Home Office,Coimbatore,Tamil Nadu,Furniture,Furnishings,3579.12,8,0.1,1046.88
IND-10132,2021-02-14,2021-02-16,Standard Class,Vikas Sharma,Corporate,Madurai,Tamil Nadu,Furniture,Furnishings,1669.06,4,0.0,484.88
IND-10133,2022-10-10,2022-10-11,First Class,Pooja Yadav,Consumer,Coimbatore,Tamil Nadu,Office Supplies,Binders,936.62,6,0.0,195.3
IND-10134,2022-12-23,2022-12-24,Standard Class,Sneha Kapoor,Consumer,Madurai,Tamil Nadu,Technology,Accessories,2719.72,4,0.4,-73.1
IND-10135,2022-05-11,2022-05-13,Standard Class,Nitin Iyer,Corporate,Udaipur,  rajasthan  ,Technology,Phones,1414.54,7,0.3,319.32
IND-10136,2021-07-17,2021-07-19,Second Class,Rahul Kumar,Corporate,Chennai,Tamil Nadu,Office Supplies,Art,4558.59,7,0.3,222.96
IND-10137,2021-04-11,2021-04-14,Same Day,Sneha Patel,Home Office,Kanpur,Uttar Pradesh,Furniture,Bookcases,3593.27,8,0.2,474.65
IND-10138,2021-06-30,2021-07-02,Same Day,Vivek Saxena,Consumer,New Delhi,Delhi,Furniture,Chairs,4329.06,8,0.4,-116.03
IND-10139,2021-06-19,2021-06-20,Second Class,Vivek Gupta,Home Office,Kolkata,West Bengal,Office Supplies,Labels,4641.56,4,0.2,736.49
IND-10140,2021-01-30,2021-02-02,Same Day,Anjali Agarwal,Corporate,Mysuru,Karnataka,Technology,Copiers,4547.87,1,0.0,1484.7
IND-10141,2021-10-10,2021-10-12,Same Day,Ritu Sharma,Corporate,Noida,Uttar Pradesh,Technology,Copiers,1046.87,6,0.1,69.84
IND-10142,2023-04-13,2023-04-16,Second Class,Amit Pandey,Consumer,Coimbatore,Tamil Nadu,Technology,Machines,1194.64,9,0.0,194.67
IND-10143,2023-02-04,2023-02-07,First Class,Sunita Patel,Consumer,Kolkata,West Bengal,Furniture,Furnishings,2786.72,3,0.2,251.54
IND-10144,2021-07-10,2021-07-14,Same Day,Suresh Chatterjee,Home Office,Lucknow,Uttar Pradesh,Technology,Accessories,767.42,9,0.0,157.1
IND-10145,2022-12-28,2022-12-30,Second Class,Sneha Agarwal,Consumer,,Gujarat,Technology,Accessories,3362.42,7,0.4,-169.58
IND-10146,2023-01-09,2023-01-13,Same Day,Deepak Kumar,Corporate,Bhopal,Madhya Pradesh,Furniture,Chairs,4837.86,1,0.1,1667.01
IND-10147,2021-01-13,2021-01-15,Standard Class,Nitin Mishra,Consumer,Bengaluru,Karnataka,Office Supplies,Art,1449.17,7,0.4,-55.74
IND-10148,2022-10-09,2022-10-12,Second Class,Deepak Patel,Home Office,Mangalore,Karnataka,Furniture,Furnishings,4826.5,6,0.1,795.98
IND-10149,2022-05-04,2022-05-06,Second Class,Priya Tiwari,Consumer,Chennai,Tamil Nadu,OFFICE SUPPLIES,Labels,1303.77,3,0.2,7.9
IND-10150,2022-03-20,2022-03-22,Standard Class,Vivek Verma,Home Office,Bengaluru,Karnataka,Technology,Accessories,684.82,8,0.2,129.66
IND-10151,2021-04-17,2021-04-19,Same Day,Vivek Agarwal,Home Office,Ahmedabad,Gujarat,Office Supplies,Labels,2870.2,4,0.4,100.12
IND-10152,2022-09-15,2022-09-19,Same Day,Priya Tiwari,Corporate,Howrah,West Bengal,Technology,Accessories,3922.63,5,0.3,427.49
IND-10153,2023-06-04,2023-06-08,Standard Class,Nitin Saxena,Corporate,Indore,Madhya Pradesh,Furniture,Chairs,636.33,7,0.2,147.15
IND-10154,2022-05-13,2022-05-16,Second Class,Deepak Mishra,Consumer,Coimbatore,Tamil Nadu,Technology,Machines,2015.88,4,0.3,412.05
IND-10155,2021-12-16,2021-12-17,First Class,Suresh Jain,Home Office,Pune,Maharashtra,Office Supplies,Storage,1811.64,5,0.1,496.74
IND-10156,2022-05-02,2022-05-03,Standard Class,Kavita Kapoor,Consumer,Bhopal,Madhya Pradesh,Furniture,Tables,4468.83,3,0.2,236.07
IND-10157,2021-08-23,2021-08-25,Standard Class,Suresh Iyer,Home Office,Agra,Uttar Pradesh,Technology,Accessories,594.63,2,0.1,78.38
IND-10158,2022-06-14,2022-06-15,First Class,Rohit Joshi,Consumer,Pune,Maharashtra,Furniture,Furnishings,2213.51,7,0.0,505.84
IND-10159,2021-01-06,2021-01-09,First Class,Nitin Mehta,Corporate,Vadodara,Gujarat,Office Supplies,Paper,3771.18,2,0.2,1041.49
IND-10160,2023-04-28,2023-05-01,Second Class,Kiran Mehta,Home Office,,Karnataka,Technology,Machines,4085.4,2,0.2,1062.31
IND-10161,2021-02-19,2021-02-21,Standard Class,Manish Patel,Corporate,Bhopal,Madhya Pradesh,Office Supplies,Art,993.86,1,0.4,57.86
IND-10162,2022-03-15,2022-03-18,Same Day,Rohit Mehta,Consumer,Mangalore,Karnataka,OFFICE SUPPLIES,Art,3871.57,3,0.0,1212.91
IND-10163,2021-11-29,2021-12-01,Same Day,Vivek Kapoor,Home Office,Bhopal,Madhya Pradesh,Technology,Copiers,2771.19,1,0.0,391.72
IND-10164,2022-09-10,2022-09-13,First Class,Neha Mishra,Corporate,Nagpur,Maharashtra,Technology,Machines,1840.78,5,0.1,343.67
IND-10165,2021-07-02,2021-07-04,Same Day,Pooja Patel,Home Office,Mysuru,Karnataka,OFFICE SUPPLIES,Binders,4539.9,2,0.0,659.39
IND-10166,2022-11-19,2022-11-20,First Class,Kiran Chauhan,Home Office,Noida,Uttar Pradesh,Technology,Copiers,1983.32,4,0.0,600.79
IND-10167,2022-02-26,2022-02-28,First Class,Nitin Pandey,Corporate,Lucknow,  uttar pradesh  ,Furniture,Tables,2894.53,6,0.1,910.62
IND-10168,2022-08-23,2022-08-27,Same Day,Pooja Iyer,Home Office,Indore,Madhya Pradesh,Furniture,Tables,2502.52,6,0.0,369.32
IND-10169,2022-10-24,2022-10-26,First Class,Anjali Yadav,Home Office,Lucknow,Uttar Pradesh,Furniture,Chairs,1096.78,4,0.1,179.95
IND-10170,2021-09-18,2021-09-19,First Class,Kiran Singh,Consumer,Vadodara,Gujarat,Furniture,Furnishings,2901.38,5,0.0,602.78
IND-10171,2022-04-21,2022-04-22,Second Class,Amit Joshi,Home Office,Vadodara,Gujarat,OFFICE SUPPLIES,Paper,1591.99,9,0.4,211.97
IND-10172,2022-08-12,2022-08-16,Second Class,Neha Mishra,Corporate,Mysuru,Karnataka,Furniture,Chairs,1473.84,6,0.4,146.63
IND-10173,2021-08-22,2021-08-26,Same Day,Nitin Kapoor,Home Office,Lucknow,Uttar Pradesh,Technology,Copiers,4109.05,5,0.3,813.61
IND-10174,2021-11-28,2021-11-29,Standard Class,Rahul Bansal,Consumer,Jaipur,Rajasthan,Furniture,Chairs,2649.61,4,0.1,871.19
IND-10175,2023-02-14,2023-02-18,Standard Class,Vikas Sharma,Home Office,Kolkata,West Bengal,Furniture,Tables,3621.95,7,0.1,632.52
IND-10176,2023-06-08,2023-06-09,Second Class,Arjun Iyer,Home Office,Bhopal,Madhya Pradesh,FURNITURE,Furnishings,4859.63,4,0.4,108.96
IND-10177,2021-08-14,2021-08-16,First Class,Suresh Agarwal,Home Office,Indore,Madhya Pradesh,Technology,Accessories,"2,064.00",2,0.4,384.42
IND-10178,2022-04-15,2022-04-19,Same Day,Ritu Jain,Consumer,Agra,Uttar Pradesh,Technology,Phones,3295.51,3,0.4,166.24
